time,close,RSI,RSI_80_fcst,RSI_40_fcst,RSI_60_fcst,RSI_20_fcst,EMA_8,EMA_24,EMA_8_above,EMA_24_above,RSI_fcst,target
2023-03-01T12:00:00+03:00,2279.63,0.91312546,2272.2146,2217.8513,2253.9553,2112.6685,2244.1353,2263.4377,1,1,4,2278.54
2023-03-01T13:00:00+03:00,2285.44,0.8637716,2275.6711,2219.5168,2257.614,2108.7754,2247.4397,2268.3271,1,1,4,2279.63
2023-03-01T14:00:00+03:00,2279.08,0.8190308,2280.7,2222.0256,2260.6038,2109.966,2249.971,2270.7168,1,1,3,2285.44
2023-03-01T15:00:00+03:00,2274.0,0.7809106,2288.6953,2224.9407,2262.9395,2114.5298,2251.8933,2271.4463,1,1,3,2279.08
2023-03-01T16:00:00+03:00,2273.36,0.7480985,2294.425,2228.0518,2264.752,2121.3079,2253.6106,2271.8716,1,1,3,2274.0
2023-03-01T17:00:00+03:00,2278.94,0.71874654,2297.976,2230.5137,2266.8606,2124.7825,2255.637,2273.4424,1,1,3,2273.36
2023-03-01T18:00:00+03:00,2279.65,0.6925606,2299.9468,2233.2168,2268.6453,2130.0872,2257.558,2274.8218,1,1,3,2278.94
2023-03-02T10:00:00+03:00,2283.99,0.66833663,2300.8813,2235.577,2270.636,2133.5034,2259.6726,2276.8591,1,1,3,2279.65
2023-03-02T11:00:00+03:00,2280.7,0.6474594,2304.058,2238.221,2272.2036,2139.1965,2261.3547,2277.7126,1,1,3,2283.99
2023-03-02T12:00:00+03:00,2262.19,0.63378614,2322.5723,2240.5676,2274.369,2145.9226,2261.4216,2274.2632,1,0,2,2280.7
2023-03-02T13:00:00+03:00,2252.82,0.62746817,2342.6182,2242.4333,2276.7595,2152.995,2260.7334,2269.498,0,0,2,2262.19
2023-03-02T14:00:00+03:00,2265.55,0.6235069,2354.5845,2242.2812,2278.1013,2149.2449,2261.1187,2268.6206,1,0,2,2252.82
2023-03-02T15:00:00+03:00,2253.61,0.6237314,2371.821,2242.403,2280.2522,2149.0127,2260.518,2265.285,0,0,2,2265.55
2023-03-02T16:00:00+03:00,2247.7,0.6284926,2386.382,2242.5762,2281.8398,2151.087,2259.4927,2261.3772,0,0,2,2253.61
2023-03-02T17:00:00+03:00,2251.84,0.63550305,2393.0354,2242.2476,2282.181,2151.155,2258.8804,2259.2578,0,0,2,2247.7
2023-03-02T18:00:00+03:00,2254.3,0.643315,2394.092,2241.8997,2281.715,2151.3777,2258.514,2258.156,0,0,2,2251.84
2023-03-03T10:00:00+03:00,2258.32,0.6505425,2391.3672,2241.4075,2280.8037,2150.4294,2258.4985,2258.1926,0,1,2,2254.3
