time,open,high,low,close,Developing POC,Developing VA High,Developing VA Low,Plot,Plot,Plot,Plot,Plot,Mid Level - Usually 50,Uptrend Limit,Downtrend Limit,Overbought Level,Oversold Level,Volume,Volume MA,EMA,Smoothing Line,EMA,Smoothing Line,Developing POC,Developing VA High,Developing VA Low,Plot
2023-01-09T16:00:00+03:00,2166.13,2167.55,2164.88,2165.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2161.952003590382,2196.3619327237516,2153.826871896267,2167.8051967797023,2113.6569673919666,NaN,NaN,2162.8021113275536,2161.416216002742,2165.1935525080025,2162.6990276675683,NaN,NaN,NaN,55.077896992082664
2023-01-09T17:00:00+03:00,2165.25,2166.55,2164.72,2165.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2162.304009346342,2196.3835668988804,2154.3946248584452,2168.0493026091517,2115.2795618474743,NaN,NaN,2163.0539424213493,2161.3947187225235,2165.3616519506686,2163.618132630327,NaN,NaN,NaN,56.19816789054551
2023-01-09T18:00:00+03:00,2165.96,2166.93,2163.5,2163.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2162.572193001845,2197.9090259845207,2155.0002796911303,2168.4850382836526,2117.536539766509,NaN,NaN,2163.089627027641,2161.3855078913894,2164.9479515171865,2164.1888253791394,NaN,NaN,NaN,51.30567649646636
2023-01-10T10:00:00+03:00,2162.7,2162.92,2150.41,2150.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2162.4790429393192,2209.6389957383044,2154.792870860217,2170.3032897450553,2119.883716735307,NaN,NaN,2162.11925686543,2161.3446339267457,2161.839517846701,2164.209641961549,NaN,NaN,NaN,34.6690312777836
2023-01-10T11:00:00+03:00,2150.92,2150.92,2145.14,2150.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2162.135063900945,2216.499807814726,2154.5359480187985,2171.1169528783466,2122.229409792714,NaN,NaN,2161.212916316196,2161.281863212607,2159.384069436323,2163.8244437478675,NaN,NaN,NaN,34.505678330540306
2023-01-10T12:00:00+03:00,2150.81,2154.75,2150.12,2152.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2161.6572127884847,2219.666325719041,2154.2990762928625,2171.2196477121297,2123.3896164226358,NaN,NaN,2160.4806830109,2161.200647488932,2157.7564984504734,2163.0695673594482,NaN,NaN,NaN,36.89772563175617
2023-01-10T13:00:00+03:00,2151.95,2157.53,2151.88,2157.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2161.22831016307,2220.3256058454444,2153.6323610255477,2170.958715555619,2120.0474272402284,NaN,NaN,2160.242228370028,2161.127262356485,2157.699498794813,2162.1696635017893,NaN,NaN,NaN,45.99623086004027
2023-01-10T14:00:00+03:00,2157.49,2158.26,2155.48,2156.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2160.8228001485363,2220.078739911269,2153.2428772729663,2170.5730523360717,2118.596180151121,NaN,NaN,2159.950050100426,2161.0605147013007,2157.4529435070767,2161.204460501388,NaN,NaN,NaN,44.831735496645074
2023-01-10T15:00:00+03:00,2156.62,2156.91,2154.63,2155.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2160.413342073562,2219.545660924726,2153.024277094146,2170.139912747592,2118.455882229081,NaN,NaN,2159.578046092392,2160.994540191864,2156.9745116166155,2160.1770803899644,NaN,NaN,NaN,43.16347109677833
2023-01-10T16:00:00+03:00,2155.31,2158.83,2155.25,2158.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2160.079241981071,2217.6793181729718,2152.558372818031,2169.5542867679255,2116.7040191079664,NaN,NaN,2159.4646024050007,2160.933843643182,2157.2379534795896,2159.1616180810797,NaN,NaN,NaN,47.80115584425384
2023-01-10T17:00:00+03:00,2158.19,2159.71,2156.75,2158.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2159.808898270043,2214.94909964547,2152.3534749334503,2168.882154996948,2116.3467698198383,NaN,NaN,2159.371434212601,2160.874236151729,2157.4739638174588,2158.2273696186135,NaN,NaN,NaN,48.02472770210998
2023-01-10T18:00:00+03:00,2158.29,2159.95,2158.29,2159.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2159.6178802087825,2211.727041456304,2152.1985521454067,2168.1965184000856,2116.0228238529335,NaN,NaN,2159.3825194755927,2160.824963926258,2157.926416302468,2157.7382319255844,NaN,NaN,NaN,50.01731717036879
2023-01-11T10:00:00+03:00,2156.28,2168.01,2153.55,2165.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2159.6376552257525,2208.407148815204,2151.43738414146,2167.671185717421,2111.1910760120236,NaN,NaN,2159.9063179175455,2160.8075001454913,2159.704990457475,2157.7783470532286,NaN,NaN,NaN,58.99886653521577
2023-01-11T11:00:00+03:00,2165.95,2176.74,2165.93,2173.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2159.9728895078724,2205.281623040767,2150.3224940228497,2168.0981301419743,2102.827194666148,NaN,NaN,2160.969012484142,2160.83726680052,2162.701659244703,2158.396492152507,NaN,NaN,NaN,66.36040704209812
2023-01-11T12:00:00+03:00,2173.16,2174.89,2167.83,2171.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2160.4789518771736,2203.8545186713427,2150.0579964717167,2168.476164775324,2098.6949442474756,NaN,NaN,2161.8162914854106,2160.9055521231458,2164.670179412547,2159.267827229724,NaN,NaN,NaN,63.59943646874891
2023-01-11T13:00:00+03:00,2171.56,2175.66,2171.14,2175.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2161.181496326127,2202.205399154608,2149.885731356239,2169.3006864228655,2094.198381142202,NaN,NaN,2162.9077881665776,2161.0232746199617,2167.06791732087,2160.469698956448,NaN,NaN,NaN,67.12391241864506
2023-01-11T14:00:00+03:00,2175.47,2175.94,2173.12,2175.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2162.011675597025,2200.455047342615,2150.3191873314204,2170.0670453067523,2092.659567821795,NaN,NaN,2163.945565113251,2161.193945983699,2169.0261579162325,2161.9761547439,NaN,NaN,NaN,67.48899092104591
2023-01-11T15:00:00+03:00,2175.93,2179.11,2175.3,2177.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2162.953055237894,2198.723922158864,2150.9819674094956,2170.9669018626882,2091.944682111251,NaN,NaN,2165.0507199041913,2161.4221969716705,2170.967011712625,2163.6922870230296,NaN,NaN,NaN,69.14088732592883
2023-01-11T16:00:00+03:00,2177.75,2181.77,2176.1,2181.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2164.039630360867,2197.142980535535,2151.5672220425,2172.2375400294804,2090.0927860443344,NaN,NaN,2166.381862311856,2161.675521213938,2173.3498979987085,2165.6767787956855,NaN,NaN,NaN,72.3084093689867
2023-01-11T17:00:00+03:00,2181.68,2187.22,2179.87,2186.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2165.3144437204733,2195.8215936685915,2152.0495666212073,2173.948284620832,2086.74861151109,NaN,NaN,2168.0001133269075,2161.9766461834906,2176.2965873323287,2167.9730501744184,NaN,NaN,NaN,75.67470030059604
2023-01-11T18:00:00+03:00,2186.72,2190.4,2185.3,2186.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2166.6961841374705,2194.720242050065,2153.1452824043367,2175.4655916968873,2086.4697265686773,NaN,NaN,2169.518504260755,2162.3261478221452,2178.6706790362555,2170.343761246766,NaN,NaN,NaN,75.91185319981011
2023-01-12T10:00:00+03:00,2193.53,2194.8,2177.36,2180.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2167.973041400386,2199.356495791173,2154.549663158446,2176.628559723929,2088.495877581592,NaN,NaN,2170.4226239198947,2162.6889226630415,2179.148305917088,2172.399592080814,NaN,NaN,NaN,64.61699755739221
2023-01-12T11:00:00+03:00,2180.84,2185.2,2180.73,2183.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2169.1987817273225,2202.186492183475,2155.8419638055657,2177.801884260515,2090.1194548616045,NaN,NaN,2171.4352140063033,2163.070408849999,2180.0220157132903,2174.318571618407,NaN,NaN,NaN,66.58157639262748
2023-01-12T12:00:00+03:00,2183.07,2184.31,2182,2183.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2170.367706834094,2203.7001318027483,2157.3196298892726,2178.7692514526193,2093.0973376763513,NaN,NaN,2172.3963968857993,2163.479076142,2180.783789999226,2176.0330557032016,NaN,NaN,NaN,66.90554873164245
2023-01-12T13:00:00+03:00,2183.61,2187.06,2183.03,2185.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2171.5248714265745,2204.320762671487,2158.63799911106,2179.8333451964418,2095.2061124386446,NaN,NaN,2173.4718851349353,2163.923650050641,2181.9073922216203,2177.643209991375,NaN,NaN,NaN,68.99636309064648
2023-01-12T14:00:00+03:00,2185.94,2187.59,2185.1,2187.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2172.675325306354,2204.3383097195983,2160.0144306189954,2180.8527428907155,2097.6859438457645,NaN,NaN,2174.5621343241405,2164.4031580465903,2183.06130506126,2179.1549966599546,NaN,NaN,NaN,70.06992101017217
2023-01-12T15:00:00+03:00,2187.12,2188.57,2186.16,2187.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2173.7986652305435,2203.944610425668,2161.5586710161915,2181.716944436566,2101.27562307102,NaN,NaN,2175.583563578209,2164.9237387361973,2184.0099039365355,2180.4874974021827,NaN,NaN,NaN,70.27227718213803
2023-01-12T16:00:00+03:00,2187.34,2193.24,2186.73,2192.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2175.0058331429204,2203.408805809262,2162.506610941027,2183.1239280371833,2100.9830476965344,NaN,NaN,2176.9656784919525,2165.5423396373026,2185.9765919506385,2181.6974979794713,NaN,NaN,NaN,74.7011338739008
2023-01-12T17:00:00+03:00,2192.85,2194.42,2186.88,2188.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2176.141685389852,2206.644782243031,2163.75823750572,2184.2072486592106,2102.804815176355,NaN,NaN,2177.8956242125964,2166.237452466319,2186.557349294941,2182.6833317618075,NaN,NaN,NaN,66.46690611152758
2023-01-12T18:00:00+03:00,2188.64,2189.26,2185.73,2185.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2177.1384322043937,2210.8581593416047,2165.1273583402985,2184.978001448882,2105.983869355216,NaN,NaN,2178.538374275589,2166.9898562690146,2186.41793834051,2183.592035814735,NaN,NaN,NaN,61.89017068738261
2023-01-13T10:00:00+03:00,2188.6,2189.26,2179.82,2183.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2177.9694234655294,2214.9378461905667,2166.498812877226,2185.5915489764484,2109.9802154123263,NaN,NaN,2178.9737043335417,2167.7703344341608,2185.876174264841,2184.323805633679,NaN,NaN,NaN,58.699218334234644
2023-01-13T11:00:00+03:00,2183.99,2185.69,2181.73,2185.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2178.7005483655466,2217.03516118165,2167.651783993452,2186.028182485503,2113.1858598313333,NaN,NaN,2179.4902079868584,2168.584507679429,2185.7770244282096,2184.947959937302,NaN,NaN,NaN,60.3368054163067
